,Time Stamp,CH4 (ppm),C2H6 (ppb),R,C2/C1,ch4Enhcmt,totDist,length,lrate,npeaks,Latitude,Longitude,POLYGON,LEAKNUM,Unnamed: 0,PolyLK
18,07/01/2020 03:41:31.998,2.6104700000000003,14.365,0.951,0.006999999999999999,0.669,200.9,16,13.4,1,33.659599299999996,-86.68260193,P23,18,18,P23L18
19,07/01/2020 03:46:07.659,2.26063,12.469000000000001,0.83,0.006999999999999999,0.304,290.4,16,2.9,1,33.65336609,-86.6829071,P23,19,19,P23L19
20,07/02/2020 02:50:11.905,2.28143,11.755999999999998,0.8490000000000001,0.006,0.299,66.0,9,1.3,1,33.66008759,-86.68656158,P23,20,20,P23L20
21,07/02/2020 02:56:19.726,2.23539,7.312,0.8420000000000001,0.006,0.21899999999999997,129.2,17,0.8,1,33.651317600000006,-86.68855286,P23,21,21,P23L21
22,07/02/2020 03:22:10.472,2.56103,-0.042,0.983,0.006999999999999999,0.625,13.1,6,0.8,1,33.65493011,-86.69610596,P23,22,22,P23L22
23,07/02/2020 03:24:40.078,2.0935,-1.156,0.794,0.006,0.156,85.9,10,0.5,1,33.65585327,-86.69395447,P23,23,23,P23L23
24,07/02/2020 04:01:51.886,2.27468,2.528,0.8759999999999999,0.008,0.32,161.2,13,2.9,1,33.64941406,-86.69174194,P23,24,24,P23L24
25,07/06/2020 23:39:37.265,2.49158,3.138,0.968,0.008,0.57,80.8,17,0.5,1,33.65982437,-86.69422913,P23,25,25,P23L25
26,07/06/2020 23:40:18.225,2.44673,3.0380000000000003,0.98,0.006999999999999999,0.525,31.9,15,1.9,1,33.65982437,-86.69422913,P23,26,26,P23L26
27,07/06/2020 23:42:07.793,3.91488,1.702,0.868,0.001,1.9909999999999999,34.6,14,3.3,1,33.65828323,-86.6955719,P23,27,27,P23L27
28,07/07/2020 00:15:57.771,2.0232099999999997,-2.8689999999999998,0.748,0.016,0.09,15.2,6,0.1,1,33.64917374,-86.68377686,P23,28,28,P23L28
29,07/07/2020 00:18:42.635,2.3923099999999997,-2.9410000000000003,0.9279999999999999,0.006,0.469,264.2,17,24.2,1,33.66172409,-86.68128204,P23,29,29,P23L29
30,07/07/2020 00:21:07.019,1.96134,-5.655,0.758,0.016,0.033,123.2,7,0.2,1,33.65462494,-86.68274689,P23,30,30,P23L30
0,06/15/2020 21:04:44.398,2.74653,16.602999999999998,0.989,0.009000000000000001,0.6970000000000001,214.2,12,39.9,2,33.706867218,-86.58829498290001,P1,0,0,P1L0
1,06/17/2020 02:27:42.558,2.56965,7.987999999999999,0.978,0.011,0.545,270.4,23,5.2,3,33.749111175500005,-86.59404754639999,P1,1,1,P1L1
2,06/17/2020 02:00:49.963,3.02435,12.001,0.992,0.009000000000000001,1.002,289.4,16,35.9,2,33.7056388855,-86.60827636719999,P1,2,2,P1L2
3,06/17/2020 01:49:05.246,2.40117,4.734,0.9,0.006999999999999999,0.383,87.6,17,3.1,2,33.6394462585,-86.6150360107,P1,3,3,P1L3
4,06/15/2020 21:08:21.691,2.14998,14.175,0.8270000000000001,0.018000000000000002,0.128,244.3,17,1.6,1,33.7198867798,-86.5886993408,P1,4,4,P1L4
5,06/15/2020 21:08:58.760,2.73588,21.071,0.979,0.011,0.7140000000000001,126.8,9,9.2,1,33.7231674194,-86.58470153809998,P1,5,5,P1L5
6,06/15/2020 21:29:51.521,2.1482,3.766,0.752,0.013,0.112,188.9,13,1.3,1,33.7465629578,-86.6012039185,P1,6,6,P1L6
7,06/15/2020 21:46:01.761,2.18996,5.033,0.8220000000000001,0.01,0.139,155.1,20,0.8,1,33.7381477356,-86.61298370360001,P1,7,7,P1L7
8,06/16/2020 02:06:35.681,2.26132,5.396,0.777,0.01,0.197,259.2,13,4.3,1,33.6583709717,-86.6431427002,P1,8,8,P1L8
9,06/16/2020 02:12:04.692,2.23628,4.716,0.8340000000000001,0.009000000000000001,0.183,151.2,9,2.2,1,33.6978912354,-86.6127243042,P1,9,9,P1L9
10,06/16/2020 02:41:57.000,2.18462,5.727,0.7559999999999999,0.014,0.16,161.6,8,2.8,1,33.7488899231,-86.59441375729998,P1,10,10,P1L10
11,06/17/2020 02:00:12.075,2.21566,4.801,0.877,0.011,0.194,276.4,18,6.0,1,33.7030258179,-86.6026306152,P1,11,11,P1L11
12,06/17/2020 21:02:16.038,2.80302,10.823,0.994,0.008,0.8340000000000001,300.7,17,18.6,8,33.705646514899996,-86.6083221436,P2,0,0,P2L0
13,06/16/2020 23:26:07.608,4.53517,34.047,0.997,0.008,2.48,227.6,14,59.0,3,33.706840515100005,-86.58834838870001,P3,0,0,P3L0
14,06/16/2020 23:23:41.176,2.56805,20.315,0.945,0.009000000000000001,0.544,172.9,10,19.1,2,33.705604553200004,-86.60794830319998,P3,1,1,P3L1
15,06/15/2020 23:27:51.048,2.25139,12.803,0.838,0.014,0.221,170.8,13,3.0,1,33.7030982971,-86.60285186770002,P3,2,2,P3L2
16,06/16/2020 00:10:45.076,2.30605,4.166,0.901,0.008,0.301,235.6,14,4.3,1,33.7029800415,-86.5475158691,P3,3,3,P3L3
17,06/16/2020 23:27:12.222,2.50858,18.8,0.981,0.011,0.455,197.8,19,2.6,1,33.7075042725,-86.5873947144,P3,4,4,P3L4
18,06/16/2020 23:44:16.836,2.05276,4.261,0.7490000000000001,0.008,0.038,31.8,5,0.1,1,33.6796417236,-86.5649337769,P3,5,5,P3L5
