,Time Stamp,CH4 (ppm),C2H6 (ppb),R,C2/C1,ch4Enhcmt,totDist,length,lrate,npeaks,Latitude,Longitude,POLYGON,LEAKNUM,PolyLK,Unnamed: 0,win
86,07/14/2020 02:35:54.000,2.09323,10.987,0.8340000000000001,0.003,0.073,68.1,6,0.6,1,33.60942078,-86.69738007,P26,9,P26L9,86,
87,07/14/2020 02:40:10.000,2.7061599999999997,14.356,0.978,0.006999999999999999,0.6459999999999999,181.2,21,13.8,1,33.61109924,-86.69863129,P26,10,P26L10,87,
88,07/14/2020 02:47:01.648,2.05483,-3.866,0.885,0.023,0.032,79.8,7,0.2,1,33.60788345,-86.69626617,P26,11,P26L11,88,
89,07/15/2020 22:04:14.022,1.96344,12.618,0.754,0.09300000000000001,0.025,62.0,5,0.1,1,33.61407089,-86.69272614,P26,12,P26L12,89,
90,07/15/2020 22:10:04.640,2.02847,10.822000000000001,0.777,0.016,0.06,91.1,8,0.1,1,33.61724091,-86.70041656,P26,13,P26L13,90,
91,07/15/2020 22:22:20.076,2.11715,3.688,0.818,0.008,0.185,142.7,11,1.7,1,33.61231995,-86.70114136,P26,14,P26L14,91,
92,07/15/2020 22:24:38.316,1.99862,3.793,0.92,0.052000000000000005,0.054000000000000006,47.3,5,0.2,1,33.6114769,-86.70080566,P26,15,P26L15,92,
93,07/15/2020 22:26:31.980,1.99668,4.4430000000000005,0.917,0.083,0.043,211.8,17,0.7,1,33.61305237,-86.70278168,P26,16,P26L16,93,
94,07/15/2020 22:41:40.576,2.11048,9.281,0.858,0.011000000000000001,0.163,166.9,12,1.7,1,33.60934829999999,-86.69306946,P26,17,P26L17,94,
95,07/15/2020 22:42:00.032,2.2570099999999997,10.762,0.925,0.008,0.307,146.4,15,3.2,1,33.60824203,-86.69520569,P26,18,P26L18,95,
96,07/18/2020 22:33:23.860,2.06282,8.02,0.925,0.048,0.096,79.0,10,1.1,1,33.61985016,-86.6884079,P26,19,P26L19,96,
97,07/18/2020 22:33:41.268,2.13273,7.879,0.863,0.011000000000000001,0.166,173.7,11,2.2,1,33.61762619,-86.68852997,P26,20,P26L20,97,
98,07/19/2020 00:08:22.728,2.28538,6.645,0.883,0.006,0.313,88.5,18,2.4,2,33.62729263,-86.70088196,P27,0,P27L0,98,
99,07/19/2020 00:31:52.468,2.62551,2.468,0.9640000000000001,0.006,0.654,102.9,15,3.3,2,33.63270569,-86.70128632,P27,1,P27L1,99,
100,07/15/2020 02:03:45.796,2.3858200000000003,10.08,0.865,0.008,0.36,78.1,15,1.7,2,33.63375473,-86.70087433,P27,2,P27L2,100,
101,07/15/2020 02:08:52.075,2.21345,10.446,0.7859999999999999,0.011000000000000001,0.185,105.4,12,2.1,3,33.63179016,-86.69442749,P27,3,P27L3,101,
102,07/22/2020 01:06:15.254,2.04509,4.94,0.951,0.064,0.094,85.0,18,1.0,2,33.63174057,-86.69685364,P27,4,P27L4,102,
103,07/15/2020 01:32:47.544,2.71754,1.7619999999999998,0.9440000000000001,0.006,0.6829999999999999,123.3,17,5.4,1,33.63223648,-86.69340515,P27,5,P27L5,103,
104,07/15/2020 01:35:35.480,2.05934,0.396,0.8340000000000001,0.03,0.051,94.6,13,0.2,1,33.63396835,-86.69786072,P27,6,P27L6,104,
105,07/15/2020 01:47:14.974,2.07313,15.987,0.73,0.033,0.026000000000000002,52.5,5,0.1,1,33.62729263,-86.70252228,P27,7,P27L7,105,
106,07/15/2020 01:56:40.529,2.20947,8.824,0.7709999999999999,0.012,0.192,67.9,6,1.8,1,33.630786900000004,-86.69714355,P27,8,P27L8,106,
107,07/15/2020 02:09:21.771,2.44919,13.505,0.941,0.01,0.389,157.0,18,4.1,1,33.63172531,-86.69590759,P27,9,P27L9,107,
108,07/18/2020 23:44:17.659,2.1204400000000003,11.167,0.799,0.006,0.153,121.5,10,0.6,1,33.62625504,-86.69694519,P27,10,P27L10,108,
